job_id,kind,dataset,setting,method,seed,status,repository_relative_report_paths,valid_reports,issues
original_tm_hf100_lfx05_seed_344,original_bundle,TM,hf100_lfx05,HF-only+AR1/co-kriging+Neural-GP MF,344,SUCCEEDED,result_out/final_runs/original/tm/hf100_lfx05/seed_344/bl0r344/report.json,True,
original_tm_hf100_lfx05_seed_355,original_bundle,TM,hf100_lfx05,HF-only+AR1/co-kriging+Neural-GP MF,355,SUCCEEDED,result_out/final_runs/original/tm/hf100_lfx05/seed_355/bl0r355/report.json,True,
original_tm_hf100_lfx05_seed_366,original_bundle,TM,hf100_lfx05,HF-only+AR1/co-kriging+Neural-GP MF,366,SUCCEEDED,result_out/final_runs/original/tm/hf100_lfx05/seed_366/bl0r366/report.json,True,
original_tm_hf100_lfx05_seed_377,original_bundle,TM,hf100_lfx05,HF-only+AR1/co-kriging+Neural-GP MF,377,SUCCEEDED,result_out/final_runs/original/tm/hf100_lfx05/seed_377/bl0r377/report.json,True,
original_tm_hf100_lfx05_seed_388,original_bundle,TM,hf100_lfx05,HF-only+AR1/co-kriging+Neural-GP MF,388,SUCCEEDED,result_out/final_runs/original/tm/hf100_lfx05/seed_388/bl0r388/report.json,True,
original_tm_hf100_lfx05_seed_399,original_bundle,TM,hf100_lfx05,HF-only+AR1/co-kriging+Neural-GP MF,399,SUCCEEDED,result_out/final_runs/original/tm/hf100_lfx05/seed_399/bl0r399/report.json,True,
original_tm_hf100_lfx10_seed_200,original_bundle,TM,hf100_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,200,SUCCEEDED,result_out/final_runs/original/tm/hf100_lfx10/seed_200/bl0r200/report.json,True,
original_tm_hf100_lfx10_seed_210,original_bundle,TM,hf100_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,210,SUCCEEDED,result_out/final_runs/original/tm/hf100_lfx10/seed_210/bl0r210/report.json,True,
original_tm_hf100_lfx10_seed_220,original_bundle,TM,hf100_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,220,SUCCEEDED,result_out/final_runs/original/tm/hf100_lfx10/seed_220/bl0r220/report.json,True,
original_tm_hf100_lfx10_seed_230,original_bundle,TM,hf100_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,230,SUCCEEDED,result_out/final_runs/original/tm/hf100_lfx10/seed_230/bl0r230/report.json,True,
original_tm_hf100_lfx10_seed_240,original_bundle,TM,hf100_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,240,SUCCEEDED,result_out/final_runs/original/tm/hf100_lfx10/seed_240/bl0r240/report.json,True,
original_tm_hf100_lfx10_seed_250,original_bundle,TM,hf100_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,250,SUCCEEDED,result_out/final_runs/original/tm/hf100_lfx10/seed_250/bl0r250/report.json,True,
