seed,dim,recon_rmse_hfval,y_rmse_test,nll_test_raw,coverage_test_raw,width_test_raw,historical_project_relative_report_path
42,2,0.029652709141373634,0.03944006562232971,-0.1464869375431781,0.6164000034332275,0.06632635742425919,result_out/fpca_dim_sweep_tm_outputs/seed_042/fpca_dim_002/fpca_dim002_seed42/report.json
55,2,0.029652709141373634,0.039045386016368866,-0.13099516577071632,0.6111999750137329,0.0646514743566513,result_out/fpca_dim_sweep_tm_outputs/seed_055/fpca_dim_002/fpca_dim002_seed55/report.json
66,2,0.029652709141373634,0.03888392075896263,-0.11112951367954246,0.6079999804496765,0.06547775119543076,result_out/fpca_dim_sweep_tm_outputs/seed_066/fpca_dim_002/fpca_dim002_seed66/report.json
77,2,0.029652709141373634,0.03949802368879318,0.044480830868001524,0.597000002861023,0.06381210684776306,result_out/fpca_dim_sweep_tm_outputs/seed_077/fpca_dim_002/fpca_dim002_seed77/report.json
88,2,0.029652709141373634,0.03950836509466171,-0.275610779589523,0.6164000034332275,0.06764940917491913,result_out/fpca_dim_sweep_tm_outputs/seed_088/fpca_dim_002/fpca_dim002_seed88/report.json
99,2,0.029652709141373634,0.03977436572313309,-0.29421800253948904,0.6367999911308289,0.06891711056232452,result_out/fpca_dim_sweep_tm_outputs/seed_099/fpca_dim_002/fpca_dim002_seed99/report.json
111,2,0.029652709141373634,0.038754720240831375,-0.4049413466381438,0.6586999893188477,0.06790631264448166,result_out/fpca_dim_sweep_tm_outputs/seed_111/fpca_dim_002/fpca_dim002_seed111/report.json
222,2,0.029652709141373634,0.03958367556333542,-0.3401343332368186,0.6168000102043152,0.06895681470632553,result_out/fpca_dim_sweep_tm_outputs/seed_222/fpca_dim_002/fpca_dim002_seed222/report.json
333,2,0.029652709141373634,0.03938610851764679,-0.10558252453249084,0.6029999852180481,0.06509791314601898,result_out/fpca_dim_sweep_tm_outputs/seed_333/fpca_dim_002/fpca_dim002_seed333/report.json
555,2,0.029652709141373634,0.03983836621046066,0.1923445370692462,0.5795000195503235,0.0630408227443695,result_out/fpca_dim_sweep_tm_outputs/seed_555/fpca_dim_002/fpca_dim002_seed555/report.json
42,4,0.008090157993137836,0.022355414927005768,-2.315233048335202,0.917900025844574,0.07434148341417313,result_out/fpca_dim_sweep_tm_outputs/seed_042/fpca_dim_004/fpca_dim004_seed42/report.json
55,4,0.008090157993137836,0.020771577954292297,-2.424846133098183,0.955299973487854,0.07411333918571472,result_out/fpca_dim_sweep_tm_outputs/seed_055/fpca_dim_004/fpca_dim004_seed55/report.json
66,4,0.008090157993137836,0.01991080492734909,-2.470733113357611,0.9455000162124634,0.07526153326034546,result_out/fpca_dim_sweep_tm_outputs/seed_066/fpca_dim_004/fpca_dim004_seed66/report.json
77,4,0.008090157993137836,0.023077012971043587,-2.293783627691252,0.9273999929428101,0.07679656147956848,result_out/fpca_dim_sweep_tm_outputs/seed_077/fpca_dim_004/fpca_dim004_seed77/report.json
88,4,0.008090157993137836,0.022306600585579872,-2.335230284234589,0.9431999921798706,0.07895400375127792,result_out/fpca_dim_sweep_tm_outputs/seed_088/fpca_dim_004/fpca_dim004_seed88/report.json
99,4,0.008090157993137836,0.021766630932688713,-2.375894001124376,0.9322999715805054,0.07809614390134811,result_out/fpca_dim_sweep_tm_outputs/seed_099/fpca_dim_004/fpca_dim004_seed99/report.json
