target_local_id,target_row_id,target_global_idx,headroom,initial_best,oracle_pool_best,method,step,n_known_hf,best_true_target_rmse,is_stopped,stop_round,stop_reason
0,1,1274341,0.03313378272180888,0.0682648019656678,0.03513101924385892,hf_only,0,50,0.0682648019656678,1,5,reached_oracle_pool_best
0,1,1274341,0.03313378272180888,0.0682648019656678,0.03513101924385892,hf_only,1,55,0.0682648019656678,1,5,reached_oracle_pool_best
0,1,1274341,0.03313378272180888,0.0682648019656678,0.03513101924385892,hf_only,2,60,0.047561693080679854,1,5,reached_oracle_pool_best
0,1,1274341,0.03313378272180888,0.0682648019656678,0.03513101924385892,hf_only,3,65,0.047561693080679854,1,5,reached_oracle_pool_best
0,1,1274341,0.03313378272180888,0.0682648019656678,0.03513101924385892,hf_only,4,70,0.047561693080679854,1,5,reached_oracle_pool_best
0,1,1274341,0.03313378272180888,0.0682648019656678,0.03513101924385892,hf_only,5,75,0.039785819442802656,1,5,reached_oracle_pool_best
0,1,1274341,0.03313378272180888,0.0682648019656678,0.03513101924385892,hf_only,6,80,0.03513101924385892,1,5,reached_oracle_pool_best
0,1,1274341,0.03313378272180888,0.0682648019656678,0.03513101924385892,ar1,0,50,0.0682648019656678,1,1,reached_oracle_pool_best
0,1,1274341,0.03313378272180888,0.0682648019656678,0.03513101924385892,ar1,1,55,0.05044695864318182,1,1,reached_oracle_pool_best
0,1,1274341,0.03313378272180888,0.0682648019656678,0.03513101924385892,ar1,2,60,0.03513101924385892,1,1,reached_oracle_pool_best
0,1,1274341,0.03313378272180888,0.0682648019656678,0.03513101924385892,ours_mean,0,50,0.0682648019656678,1,0,reached_oracle_pool_best
0,1,1274341,0.03313378272180888,0.0682648019656678,0.03513101924385892,ours_mean,1,55,0.03513101924385892,1,0,reached_oracle_pool_best
0,1,1274341,0.03313378272180888,0.0682648019656678,0.03513101924385892,ours_lcb,0,50,0.0682648019656678,1,0,reached_oracle_pool_best
0,1,1274341,0.03313378272180888,0.0682648019656678,0.03513101924385892,ours_lcb,1,55,0.03513101924385892,1,0,reached_oracle_pool_best
0,1,1274341,0.03313378272180888,0.0682648019656678,0.03513101924385892,random,0,50,0.0682648019656678,0,,
0,1,1274341,0.03313378272180888,0.0682648019656678,0.03513101924385892,random,1,55,0.0682648019656678,0,,
0,1,1274341,0.03313378272180888,0.0682648019656678,0.03513101924385892,random,2,60,0.0682648019656678,0,,
0,1,1274341,0.03313378272180888,0.0682648019656678,0.03513101924385892,random,3,65,0.0682648019656678,0,,
0,1,1274341,0.03313378272180888,0.0682648019656678,0.03513101924385892,random,4,70,0.047561693080679854,0,,
0,1,1274341,0.03313378272180888,0.0682648019656678,0.03513101924385892,random,5,75,0.047561693080679854,0,,
0,1,1274341,0.03313378272180888,0.0682648019656678,0.03513101924385892,random,6,80,0.047561693080679854,0,,
0,1,1274341,0.03313378272180888,0.0682648019656678,0.03513101924385892,oracle,0,50,0.0682648019656678,1,0,reached_oracle_pool_best
0,1,1274341,0.03313378272180888,0.0682648019656678,0.03513101924385892,oracle,1,55,0.03513101924385892,1,0,reached_oracle_pool_best
1,2,1159481,0.01638435901865789,0.032197357781572296,0.015812998762914407,hf_only,0,50,0.032197357781572296,1,2,reached_oracle_pool_best
1,2,1159481,0.01638435901865789,0.032197357781572296,0.015812998762914407,hf_only,1,55,0.032197357781572296,1,2,reached_oracle_pool_best
1,2,1159481,0.01638435901865789,0.032197357781572296,0.015812998762914407,hf_only,2,60,0.032197357781572296,1,2,reached_oracle_pool_best
1,2,1159481,0.01638435901865789,0.032197357781572296,0.015812998762914407,hf_only,3,65,0.015812998762914407,1,2,reached_oracle_pool_best
1,2,1159481,0.01638435901865789,0.032197357781572296,0.015812998762914407,ar1,0,50,0.032197357781572296,1,2,reached_oracle_pool_best
1,2,1159481,0.01638435901865789,0.032197357781572296,0.015812998762914407,ar1,1,55,0.032197357781572296,1,2,reached_oracle_pool_best
1,2,1159481,0.01638435901865789,0.032197357781572296,0.015812998762914407,ar1,2,60,0.01594618691764312,1,2,reached_oracle_pool_best
1,2,1159481,0.01638435901865789,0.032197357781572296,0.015812998762914407,ar1,3,65,0.015812998762914407,1,2,reached_oracle_pool_best
1,2,1159481,0.01638435901865789,0.032197357781572296,0.015812998762914407,ours_mean,0,50,0.032197357781572296,1,0,reached_oracle_pool_best
1,2,1159481,0.01638435901865789,0.032197357781572296,0.015812998762914407,ours_mean,1,55,0.015812998762914407,1,0,reached_oracle_pool_best
1,2,1159481,0.01638435901865789,0.032197357781572296,0.015812998762914407,ours_lcb,0,50,0.032197357781572296,1,0,reached_oracle_pool_best
1,2,1159481,0.01638435901865789,0.032197357781572296,0.015812998762914407,ours_lcb,1,55,0.015812998762914407,1,0,reached_oracle_pool_best
1,2,1159481,0.01638435901865789,0.032197357781572296,0.015812998762914407,random,0,50,0.032197357781572296,0,,
1,2,1159481,0.01638435901865789,0.032197357781572296,0.015812998762914407,random,1,55,0.032197357781572296,0,,
1,2,1159481,0.01638435901865789,0.032197357781572296,0.015812998762914407,random,2,60,0.032197357781572296,0,,
1,2,1159481,0.01638435901865789,0.032197357781572296,0.015812998762914407,random,3,65,0.032197357781572296,0,,
1,2,1159481,0.01638435901865789,0.032197357781572296,0.015812998762914407,oracle,0,50,0.032197357781572296,1,0,reached_oracle_pool_best
1,2,1159481,0.01638435901865789,0.032197357781572296,0.015812998762914407,oracle,1,55,0.015812998762914407,1,0,reached_oracle_pool_best
2,3,1816188,0.020813291310316253,0.04799291622585815,0.027179624915541895,hf_only,0,50,0.04799291622585815,1,2,reached_oracle_pool_best
2,3,1816188,0.020813291310316253,0.04799291622585815,0.027179624915541895,hf_only,1,55,0.04799291622585815,1,2,reached_oracle_pool_best
2,3,1816188,0.020813291310316253,0.04799291622585815,0.027179624915541895,hf_only,2,60,0.03255202519358302,1,2,reached_oracle_pool_best
2,3,1816188,0.020813291310316253,0.04799291622585815,0.027179624915541895,hf_only,3,65,0.027179624915541895,1,2,reached_oracle_pool_best
2,3,1816188,0.020813291310316253,0.04799291622585815,0.027179624915541895,ar1,0,50,0.04799291622585815,1,1,reached_oracle_pool_best
2,3,1816188,0.020813291310316253,0.04799291622585815,0.027179624915541895,ar1,1,55,0.03255202519358302,1,1,reached_oracle_pool_best
2,3,1816188,0.020813291310316253,0.04799291622585815,0.027179624915541895,ar1,2,60,0.027179624915541895,1,1,reached_oracle_pool_best
2,3,1816188,0.020813291310316253,0.04799291622585815,0.027179624915541895,ours_mean,0,50,0.04799291622585815,1,0,reached_oracle_pool_best
2,3,1816188,0.020813291310316253,0.04799291622585815,0.027179624915541895,ours_mean,1,55,0.027179624915541895,1,0,reached_oracle_pool_best
2,3,1816188,0.020813291310316253,0.04799291622585815,0.027179624915541895,ours_lcb,0,50,0.04799291622585815,1,0,reached_oracle_pool_best
2,3,1816188,0.020813291310316253,0.04799291622585815,0.027179624915541895,ours_lcb,1,55,0.027179624915541895,1,0,reached_oracle_pool_best
2,3,1816188,0.020813291310316253,0.04799291622585815,0.027179624915541895,random,0,50,0.04799291622585815,0,,
2,3,1816188,0.020813291310316253,0.04799291622585815,0.027179624915541895,random,1,55,0.04799291622585815,0,,
2,3,1816188,0.020813291310316253,0.04799291622585815,0.027179624915541895,random,2,60,0.04799291622585815,0,,
2,3,1816188,0.020813291310316253,0.04799291622585815,0.027179624915541895,random,3,65,0.04799291622585815,0,,
