method,summary_name,role,n,nll_mean,nll_std,nll_ci_low,nll_ci_high,coverage_mean,coverage_std,coverage_ci_low,coverage_ci_high,width_mean,width_std,width_ci_low,width_ci_high
HF-only,HF-only,main baseline,20,-1.7190100021040173,0.00540584820106053,-1.7215400169410329,-1.7164799872670018,0.9216500014066696,0.0004559564513775577,0.9214366072187249,0.9218633955946144,0.15390997231006623,0.0006429279266686585,0.1536090727780956,0.15421087184203686
AR1/co-kriging,AR1/co-kriging,main baseline,20,-2.1342329821674952,0.002897963808660023,-2.1355892709792315,-2.132876693355759,0.9681749999523163,0.0007390359364700283,0.9678291204871863,0.9685208794174462,0.13318865075707437,0.00020437305992257348,0.1330930012207465,0.13328430029340224
FPCA-NARGP,FPCA-NARGP,main baseline,20,-2.129704562121398,0.00450829180384053,-2.13181450763394,-2.127594616608856,0.9874850004911423,0.0009240978911334819,0.9870525093651495,0.987917491617135,0.1363936595618725,0.000738862675963169,0.13604786118515577,0.13673945793858922
Wavelength-wise Stage II,Controlled wavelength-wise Stage II,computational diagnostic,3,-2.0844927685400294,0.016003450184227917,-2.124247542660295,-2.044737994419764,0.9987666805585226,0.0009018497955020739,0.9965263614712093,1.001006999645836,0.16043796141942343,0.0011418969738407243,0.15760133208380725,0.1632745907550396
Wavelength-wise NARGP,Wavelength-wise NARGP,computational diagnostic,3,-2.175992808090115,0.0005153220929913863,-2.177272939134997,-2.174712677045233,0.9708666801452637,0.00023094401696512572,0.9702929834034246,0.9714403768871027,0.12358733266592026,5.152768483720959e-05,0.12345933080081854,0.12371533453102197
Neural-GP MF,Neural-GP MF (ours),proposed method,20,-2.513433719248344,0.07080471603730573,-2.546571346396274,-2.480296092100414,0.9603349983692169,0.013911080659820904,0.9538244122115513,0.9668455845268824,0.07935019917786121,0.0018756342698817044,0.07847237531838168,0.08022802303734074
