hf_budget,abs_lme_mean,abs_lme_sd,tm_lme_mean,tm_lme_sd,abs_rank_mean,abs_rank_sd,tm_rank_mean,tm_rank_sd
50,0.3502952959270699,0.0,0.5299604824804808,0.0,1.7858310850261738,2.7194799110210365e-16,1.9075731864572545,0.0
100,0.46966403405092755,6.798699777552591e-17,0.47420863161932436,0.0,1.4907274359108988,0.0,2.1272420047934233,0.0
200,0.4732609943002814,0.0,0.4403811266662904,6.798699777552591e-17,1.3352863506708796,0.0,2.231254684088026,0.0
300,0.4989569569761694,0.0,0.4637169482702183,6.798699777552591e-17,1.4224442459056776,0.0,1.5176090027237805,0.0
400,0.5041213194939498,0.0,0.47104109434871716,0.0,1.356406336927727,2.7194799110210365e-16,1.4323535480751872,2.7194799110210365e-16
500,0.5150142984699387,0.0,0.46809982162447755,0.0,1.2621899315851337,0.0,1.3244805422304533,0.0
