idx,rmse_hf_only,rmse_mf_oracle,rmse_mf_student,rmse_lf
0,nan,nan,0.025452421978116035,0.09618660807609558
1,nan,nan,0.029605748131871223,0.13784395158290863
2,nan,nan,0.014455296099185944,0.023391785100102425
3,nan,nan,0.025647105649113655,0.05809342488646507
4,nan,nan,0.020443392917513847,0.047403234988451004
5,nan,nan,0.01621926575899124,0.1328251212835312
6,nan,nan,0.0256302859634161,0.10686185210943222
7,nan,nan,0.024493960663676262,0.020239893347024918
8,nan,nan,0.02312585711479187,0.11507580429315567
9,nan,nan,0.011014672927558422,0.07671011239290237
10,nan,nan,0.01118318922817707,0.11644952744245529
11,nan,nan,0.008315782994031906,0.13022324442863464
12,nan,nan,0.0238309595733881,0.12908503413200378
13,nan,nan,0.007489723153412342,0.027809474617242813
14,nan,nan,0.011401806026697159,0.016028212383389473
15,nan,nan,0.037786755710840225,0.10024603456258774
16,nan,nan,0.01416624803096056,0.028459178283810616
17,nan,nan,0.012312963604927063,0.059310875833034515
18,nan,nan,0.022341126576066017,0.14068728685379028
19,nan,nan,0.018525326624512672,0.03808453679084778
