pathway,name,n,mean,sample_std,median,min,max,ci95_low,ci95_high
A0,Full Neural-GP MF,15,0.019987960408131226,0.0016043755906790576,0.0196230039000511,0.017920084297657,0.0233388748019933,0.019099486820276294,0.020876433995986158
A1,Affine LF only,15,0.09874318472083682,0.0012392185870215167,0.0987067684300343,0.0968771455451717,0.101646875143322,0.09805692834138048,0.09942944110029316
A2,Linear LF + GP(x),15,0.02467511656383669,0.0014377732838858365,0.0247776173055171,0.0225447509437799,0.0272996146231889,0.023878904258265932,0.025471328869407447
A3,GP LF channel only,15,0.021475719908873196,0.0016625036706831488,0.0212838314473629,0.0187854804098606,0.0244539137929677,0.020555056063265405,0.022396383754480987
