method,role,n,nll_mean,nll_std,nll_ci_low,nll_ci_high,coverage_mean,coverage_std,coverage_ci_low,coverage_ci_high,width_mean,width_std,width_ci_low,width_ci_high,source_root
HF-only,main baseline,20,-1.7190100021040173,0.005405848201060531,-1.7215400169410329,-1.7164799872670018,0.9216500014066696,0.0004559564513775577,0.9214366072187249,0.9218633955946144,0.15390997231006623,0.0006429279266686586,0.1536090727780956,0.15421087184203686,result_out/final_runs/original/tm/hf100_lfx10
AR1,main baseline,20,-2.1342329821674952,0.002897963808660023,-2.1355892709792315,-2.132876693355759,0.9681749999523163,0.0007390359364700281,0.9678291204871863,0.9685208794174462,0.13318865075707437,0.00020437305992257348,0.1330930012207465,0.13328430029340224,result_out/final_runs/original/tm/hf100_lfx10
Neural-GP MF,proposed method,20,-2.513433719248344,0.07080471603730573,-2.546571346396274,-2.480296092100414,0.9603349983692169,0.013911080659820904,0.9538244122115513,0.9668455845268824,0.07935019917786121,0.0018756342698817044,0.07847237531838168,0.08022802303734074,result_out/final_runs/original/tm/hf100_lfx10
FPCA-NARGP,main baseline,20,-2.129704562121398,0.00450829180384053,-2.13181450763394,-2.127594616608856,0.9874850004911423,0.0009240978911334819,0.9870525093651495,0.987917491617135,0.1363936595618725,0.000738862675963169,0.13604786118515577,0.13673945793858922,result_out/final_runs/comparisons/tm/fpca_nargp/hf100_lfx10
Freq.-wise NARGP,computational diagnostic,3,-2.1759928080901156,0.0005153220929913863,-2.1772729391349976,-2.1747126770452336,0.9708666801452637,0.00023094401696512572,0.9702929834034246,0.9714403768871027,0.12358733266592026,5.152768483720959e-05,0.12345933080081854,0.12371533453102197,result_out/final_runs/representation/freqwise_nargp/tm/hf100_lfx10
