seed,hf_only_rmse,ar1_rmse,ours_rmse,reduction_vs_hf_pct,reduction_vs_ar1_pct
1,0.07951946556568146,0.07622413337230682,0.0702449306845665,11.663225871977701,7.844238331363758
2,0.07972054928541183,0.07622835785150528,0.06918218731880188,13.21912864508873,9.243502984059441
3,0.07958215475082397,0.07593104988336563,0.06939666718244553,12.798707951889165,8.60567937748429
4,0.07955317944288254,0.07607229799032211,0.07000061869621277,12.007767399828817,7.981459025835898
5,0.0796135663986206,0.07624588906764984,0.07000306248664856,12.071440015452641,8.187754982386366
6,0.07966337352991104,0.07604185491800308,0.07116799801588058,10.664092088493737,6.409439784679162
7,0.07976455986499786,0.07621119916439056,0.06980682909488678,12.483903612035997,8.403450069968464
8,0.0796649232506752,0.0761733204126358,0.07105161249637604,10.811923746159087,6.723755625349063
9,0.0795736089348793,0.07629767060279846,0.06868795305490494,13.679982629520882,9.97372198623114
10,0.07970388233661652,0.07634180039167404,0.07257414609193802,8.945281002206649,4.93524423108435
11,0.07908832281827927,0.07622936367988586,0.07008028775453568,11.389842068646841,8.066545001178731
12,0.07980191707611084,0.0762263834476471,0.06986595690250397,12.450778800377039,8.344127397191185
13,0.07916603237390518,0.07608358561992645,0.07016772776842117,11.36637057037867,7.775471940896413
14,0.07947264611721039,0.07624910026788712,0.07091322541236877,10.770272695107868,6.9979512371578565
15,0.07967999577522278,0.07617410272359848,0.0700935572385788,12.031173500168498,7.982431387584893
16,0.07918737083673477,0.07618668675422668,0.07079010456800461,10.60429987761975,7.083366420213417
17,0.07956000417470932,0.07608629763126373,0.06947893649339676,12.671024575583354,8.684035553797298
18,0.0796765685081482,0.07616054266691208,0.07044121623039246,11.591051736636068,7.509566287536948
19,0.07915475219488144,0.07593449205160141,0.07010611891746521,11.431572996575387,7.675527914475966
20,0.07958762347698212,0.07620777934789658,0.0689537525177002,13.36121182504889,9.518748469340618
