wavelength,A0_mean,A0_sample_std,A1_mean,A1_sample_std,A2_mean,A2_sample_std,A3_mean,A3_sample_std
380.0,0.0208746650566657,0.0029802162987555,0.0742493584752082,0.0027162801075621,0.0263628359884023,0.0018331085792999,0.0217291249583164,0.0027734757254952
380.3760681152344,0.0203134708106517,0.0028405683574647,0.0728164558609326,0.0027048134764389,0.0252500460793574,0.0017743203317435,0.0212124833216269,0.0026197570930342
380.75286865234375,0.0198298521960775,0.0027134246845409,0.0714464356501897,0.0026921330954034,0.0242216318845748,0.001711611459127,0.020772652576367,0.0024769769581661
381.1304016113281,0.0194202462832133,0.0025998398836009,0.0701413447658221,0.0026783044555791,0.0232785521696011,0.00164585428257,0.0204059414565563,0.002346317498698
381.5086975097656,0.0190801963830987,0.0025001812839046,0.0689026360710462,0.0026633973843408,0.0224207115670045,0.0015782220986561,0.0201077777892351,0.0022284542229489
381.88775634765625,0.0188045718396703,0.0024141143598765,0.0677312756578127,0.0026474952205783,0.0216470749427874,0.0015101895387218,0.019872885197401,0.0021235310525801
382.2675476074219,0.0185877256095409,0.0023407418579707,0.0666277398665746,0.0026307073082476,0.0209555771201849,0.0014435012002032,0.0196955119570096,0.0020312287635993
382.6481323242188,0.0184236046547691,0.0022787636844199,0.065592040369908,0.0026131550613635,0.0203432043393452,0.0013801001926199,0.0195695086071888,0.0019508485397492
383.0294494628906,0.0183060291533668,0.0022266698341219,0.0646238264938195,0.0025949667869388,0.0198060536136229,0.0013219931086284,0.0194886541614929,0.0018814249920599
383.4115295410156,0.018228820276757,0.0021828935845171,0.0637223497033119,0.0025762883005391,0.0193394619971513,0.0012710991031632,0.0194467258950074,0.0018218407516658
383.79437255859375,0.0181859614327549,0.0021459395035433,0.0628865780929724,0.0025572739510285,0.0189381572107474,0.001229051980138,0.0194377195090055,0.0017709341475465
384.177978515625,0.0181717168539762,0.0021144797546578,0.0621151650945345,0.0025380768033674,0.018596372877558,0.0011970054790681,0.0194559194147586,0.001727572226912
384.5623474121094,0.0181807768220702,0.0020873929159015,0.0614065274596214,0.0025188577278926,0.0183081227044264,0.0011754980070043,0.0194960431506236,0.0016907183885487
384.9474792480469,0.0182082934305071,0.0020637708353093,0.0607588991522789,0.0024997718010355,0.0180673158417145,0.0011643901891215,0.0195532858371734,0.001659450205626
385.3334045410156,0.0182499105731646,0.0020429033835141,0.060170350720485,0.0024809764362648,0.0178679160773754,0.0011629252665921,0.0196233275036017,0.0016329711035814
385.7200927734375,0.0183018391951918,0.0020242608427761,0.0596388046940167,0.0024626153309006,0.0177041312058766,0.0011698664386746,0.0197024283309777,0.0016106020595622
386.1075744628906,0.0183607777580618,0.0020074519514336,0.0591621336837609,0.0024448249884221,0.0175705359627803,0.0011836950771972,0.0197872877120971,0.0015917793299747
386.4958190917969,0.0184239476919174,0.0019922001338782,0.0587381047507127,0.0024277299004626,0.0174620947490135,0.0012027988292776,0.0198751619706551,0.001576026855321
386.8848571777344,0.0184890364607175,0.0019783196304997,0.0583644854525725,0.0024114410542431,0.017374273451666,0.0012256266156052,0.0199637420475482,0.0015629494963233
387.274658203125,0.0185541929677128,0.0019656896710446,0.0580390319228172,0.0023960550531611,0.0173030865068237,0.0012507907812142,0.020051172375679,0.001552202936521
387.6652526855469,0.0186179456611474,0.0019542210938901,0.0577595022817452,0.0023816448493677,0.0172450428828597,0.0012771068800529,0.0201359788576761,0.0015434959642331
388.056640625,0.0186791694412628,0.0019438746418447,0.0575236943860848,0.0023682761907483,0.0171972122043371,0.0013036092145985,0.0202170237898826,0.001536573344584
388.4488220214844,0.0187370799481868,0.0019346150647794,0.0573294483125209,0.0023559939345678,0.0171571657061576,0.0013295477427541,0.0202935025095939,0.0015312065578454
388.841796875,0.0187911130487918,0.0019264385286737,0.0571746518214543,0.0023448267593088,0.0171229186778267,0.0013543452621468,0.020364844550689,0.0015271873287038
389.2355651855469,0.0188410066068172,0.0019193341604879,0.057057278851668,0.0023347895237629,0.0170929661020636,0.0013776015303736,0.0204307587196429,0.0015243422054801
389.630126953125,0.0188866391777992,0.0019133093646765,0.0569753597180048,0.0023258792869639,0.0170661609619855,0.0013990162480439,0.0204911168664693,0.0015224972512819
390.0255126953125,0.0189280835290749,0.0019083613798131,0.0569269982477029,0.0023180787293778,0.0170417267208298,0.001418419947249,0.0205459838112195,0.001521507178135
390.4216918945313,0.0189655096580584,0.0019044952412966,0.0569103750089804,0.0023113686774575,0.0170191998283068,0.0014357197783498,0.0205955271919568,0.0015212302125423
390.8186645507813,0.018999225522081,0.0019017082435304,0.0569237681726614,0.0023057132065126,0.0169983609889944,0.0014508730549183,0.0206400459011395,0.0015215576048874
391.2164306640625,0.0190296024084091,0.0018999948470762,0.0569654698173205,0.0023010647762817,0.0169792129968603,0.0014639144560255,0.0206799353162447,0.0015223736808199
391.6150207519531,0.0190570692221323,0.00189934012043,0.0570339058836301,0.0022973675902395,0.0169619657720128,0.0014749014899063,0.0207156361391146,0.0015235858134715
392.0144348144531,0.0190821072707573,0.0018997270637066,0.0571275661389033,0.0022945740899802,0.0169469534729917,0.001483938899918,0.020747651780645,0.0015251146057753
392.4146728515625,0.0191051763792832,0.001901125253286,0.0572449413438638,0.0022926143787945,0.0169345932081341,0.0014911483827383,0.0207764881352583,0.0015268852130796
392.8157043457031,0.0191267961015303,0.0019034858255218,0.0573846707741419,0.0022914287621898,0.0169254346440235,0.0014966733889438,0.0208027020096778,0.0015288408860104
393.2175598144531,0.0191474258899688,0.0019067611355489,0.0575453661382198,0.0022909487347712,0.0169200391819079,0.001500676364733,0.0208268051346143,0.0015309247688373
393.6202697753906,0.0191675629466772,0.0019108835450984,0.0577257571121056,0.0022911094863012,0.0169190128644307,0.0015033295484258,0.0208493683487176,0.0015330960968974
394.0237731933594,0.019187619164586,0.0019157769507346,0.0579245905081431,0.0022918464990542,0.0169229372714956,0.0015048156990035,0.0208708509802818,0.0015353153441051
394.4281005859375,0.0192080081750949,0.0019213511264123,0.0581406568487485,0.0022930919279461,0.016932395286858,0.0015053165941738,0.0208917660017808,0.001537554608033
394.8332824707031,0.0192290974160035,0.0019275088861955,0.0583728010455767,0.0022947777629557,0.0169479104379812,0.0015050142961574,0.0209125533699989,0.001539784563069
395.2392883300781,0.0192511934787035,0.0019341415307102,0.0586198816696802,0.0022968560185596,0.0169699598724643,0.001504096743799,0.0209336227426926,0.0015419814082667
395.6461181640625,0.0192745701720317,0.0019411340451908,0.0588808327913284,0.0022992542504434,0.0169989733646313,0.0015027310629846,0.0209553298850854,0.0015441307145926
396.0538024902344,0.0192994348704814,0.0019483638218231,0.0591545954346656,0.0023019236064057,0.0170352851351102,0.0015010840210696,0.0209779976556698,0.001546213387561
396.4623107910156,0.0193259863803784,0.0019557103692759,0.0594401401778062,0.002304811513857,0.0170791570097208,0.0014993068314231,0.0210019251952568,0.0015482133407788
396.8716735839844,0.0193543226768573,0.0019630454233369,0.0597364793221155,0.0023078651079006,0.0171307563160856,0.001497535410386,0.021027319629987,0.0015501219585078
397.2818908691406,0.0193845096975564,0.0019702468703332,0.0600426505009333,0.002311044127782,0.017190171033144,0.0014958886323389,0.0210543597737948,0.0015519270065008
397.6929626464844,0.0194165730228026,0.0019771964017494,0.0603577171762784,0.0023143026482425,0.0172574028993646,0.0014944664465336,0.0210831855734189,0.001553614339337
398.1048583984375,0.019450493901968,0.0019837782607189,0.0606807641685009,0.002317604293218,0.0173323680957158,0.0014933485457007,0.0211138865600029,0.001555183328307
398.51763916015625,0.0194862118611733,0.0019898926373428,0.0610109527905782,0.002320909610719,0.0174148998533686,0.0014926013407906,0.0211465140183766,0.0015566205715448
398.9312438964844,0.0195236266901095,0.0019954390382257,0.061347406109174,0.0023241877156116,0.0175047659625609,0.0014922607703997,0.0211810765167077,0.0015579198294207
399.3457336425781,0.0195625861485799,0.0020003369005698,0.0616892943779627,0.0023274127902382,0.0176016363004843,0.001492358794923,0.021217530965805,0.0015590756000873
399.7610778808594,0.0196029519041379,0.0020045088312097,0.0620358457167943,0.0023305585303417,0.0177051601310571,0.0014929022537268,0.0212558442105849,0.0015600878970382
400.1772766113281,0.0196445312350988,0.0020078993281565,0.0623862971862157,0.002333595558193,0.0178149168690045,0.0014938899145071,0.0212959181517362,0.0015609441201722
400.5943603515625,0.0196871028592189,0.0020104579019111,0.0627399149040381,0.002336510226502,0.0179304386799534,0.0014953070993006,0.02133762439092,0.0015616478820231
401.0122985839844,0.0197304355601469,0.0020121508185813,0.0630959828694661,0.0023392814954076,0.0180512002358833,0.0014971314024039,0.0213808237264553,0.0015621975837372
401.4311218261719,0.0197743199765682,0.002012957514125,0.0634538518885771,0.0023418963617177,0.0181767019132773,0.0014993263017543,0.0214253878841797,0.0015625907722467
401.8507995605469,0.0198184692611296,0.0020128681754402,0.0638128407299518,0.0023443396832889,0.0183063538745045,0.0015018634009931,0.0214711093654235,0.001562825880492
402.2713623046875,0.0198626483480135,0.0020118764724604,0.0641723781824112,0.0023466021916764,0.0184396187464396,0.0015046975993101,0.0215178250024716,0.0015629134663375
402.6928405761719,0.0199065974603096,0.0020100014211757,0.0645318515598774,0.0023486659660918,0.0185759127140045,0.001507790693268,0.0215653313944737,0.0015628442984485
403.11517333984375,0.0199500675002733,0.0020072620190244,0.0648907211919625,0.0023505402693978,0.0187146624550223,0.0015110983315943,0.021613431846102,0.001562626815059
403.5383911132813,0.0199928077558676,0.0020036846444714,0.0652484645446141,0.0023522047191585,0.0188553165023525,0.0015145870959702,0.0216619424521923,0.0015622679516416
403.9624938964844,0.0200345707436402,0.0019993038072191,0.065604610244433,0.0023536598804867,0.0189973146344224,0.0015182100524542,0.0217106400678555,0.0015617698123654
404.3875122070313,0.0200751326978206,0.0019941542127367,0.0659586777289708,0.0023549055691633,0.0191401306539773,0.0015219368828812,0.0217593436439832,0.0015611358246963
404.81341552734375,0.0201142722119887,0.0019882907711473,0.0663102452953656,0.0023559325834457,0.0192832431445519,0.0015257272394255,0.0218078510214885,0.0015603740821304
405.2402038574219,0.0201517603049675,0.0019817487411233,0.0666589270035425,0.0023567502632843,0.0194261503716309,0.0015295525703125,0.0218559610346953,0.0015594862449295
405.66790771484375,0.0201874361683925,0.00197458509951,0.0670043538014094,0.0023573482788828,0.0195684113850196,0.0015333889727303,0.0219035272796948,0.001558479792922
406.0965270996094,0.0202210834870735,0.0019668513808477,0.0673461779952049,0.0023577293375654,0.0197095623860756,0.0015372101866428,0.0219503387808799,0.0015573651046951
406.5260314941406,0.0202525624384482,0.00195859360006,0.0676840881506602,0.0023579023090369,0.0198491974423329,0.0015409893456072,0.0219962545981009,0.0015561377866861
