comparator,n,mean_reduction_pct,std_reduction_pct,ci95_low,ci95_high
HF-only,20,11.800652580439788,1.1300598382517038,11.271768296021438,12.329536864858138
AR1/co-kriging,20,7.897300900390762,1.1357822137381577,7.365738461805808,8.428863338975717
