dataset,setting,method,split,metric,n,individual_values,mean,std,min,max,ci95_low,ci95_high,mean_ours_rmse,mean_direct_rmse,mean_paired_difference,std_paired_difference,relative_degradation_pct
TM,hf100_lfx10,Neural-GP MF matched reference,test,rmse,3,0.0188779961318;0.0189510695636;0.0190130602568,0.0189473753174146,6.760780325476822e-05,0.018877996131777763,0.0190130602568388,0.018779428223742914,0.019115322411086287,,,,,
TM,hf100_lfx10,Controlled wavelength-wise Stage II,test,rmse,3,0.0257576145232;0.0271218530834;0.0265969540924,0.026492140566309292,0.0006881323409926513,0.02575761452317238,0.027121853083372116,0.024782725067395595,0.02820155606522299,,,,,
TM,hf100_lfx10,Direct-latent Stage I,test,rmse,20,0.0237405654043;0.0198791790754;0.0214823298156;0.0237068217248;0.0229548923671;0.0232521351427;0.0244118031114;0.0264710392803;0.0233644153923;0.0228593144566;0.0237751938403;0.0232331808656;0.0240218210965;0.0247301571071;0.0247853286564;0.0239502061158;0.0227297265083;0.0239019840956;0.0226869788021;0.0235476959497,0.023474238440394403,0.0013162959336738144,0.019879179075360298,0.026471039280295372,0.022858192980323114,0.024090283900465692,,,,,
TM,hf100_lfx10,Wavelength-wise NARGP,test,rmse,3,0.0293280426413;0.0293236300349;0.0293442197144,0.02933196413020293,1.0840538814348793e-05,0.029323630034923553,0.029344219714403152,0.029305034738918847,0.029358893521487014,,,,,
TM,hf100_lfx10,Full-vs-Direct paired,test,rmse_difference,20,,0.019383760634809732,0,0.0009281095117330551,0.0063704680651426315,0.0033187601360922625,0.0048621954750770755,0.019383760634809732,0.023474238440394403,0.004090477805584669,0.0016489186206802573,21.10260172238668
