dataset,setting,method,seed,split,metric,value,source
AB,hf100_lfx10,Neural-GP MF (ours),388,test,nlpd_cal,-3.1650753252027433,result_out/final_runs/original/ab/hf100_lfx10/seed_388/ba0r388/report.json
AB,hf100_lfx10,HF-only,210,test,target_rmse,0.016857782378792763,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,AR1/co-kriging,210,test,target_rmse,0.016039080917835236,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,Neural-GP MF (ours),210,test,target_rmse,0.012709742411971092,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,HF-only,210,test,y_rmse,0.016857782378792763,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,AR1/co-kriging,210,test,y_rmse,0.016039080917835236,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,Neural-GP MF (ours),210,test,y_rmse,0.012709742411971092,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,HF-only,210,val,r2,0.9675744359654567,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,AR1/co-kriging,210,val,r2,0.9816503018938085,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,Neural-GP MF (ours),210,val,r2,0.9893411063153489,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,HF-only,210,test,r2,0.9800404679268836,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,AR1/co-kriging,210,test,r2,0.9819320708090352,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,Neural-GP MF (ours),210,test,r2,0.9886545198642331,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,HF-only,210,val,nll_raw,-2.620843542627699,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,AR1/co-kriging,210,val,nll_raw,-2.732823752374052,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,Neural-GP MF (ours),210,val,nll_raw,-3.105823910853521,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,HF-only,210,val,nll_cal,-2.620843542627699,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,AR1/co-kriging,210,val,nll_cal,-2.732823752374052,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,Neural-GP MF (ours),210,val,nll_cal,-3.105823910853521,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,HF-only,210,test,nll_raw,-2.786249590451167,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,AR1/co-kriging,210,test,nll_raw,-2.7999927804268547,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,Neural-GP MF (ours),210,test,nll_raw,-3.189383034635422,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,HF-only,210,test,nll_cal,-2.786249590451167,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
AB,hf100_lfx10,AR1/co-kriging,210,test,nll_cal,-2.7999927804268547,result_out/final_runs/original/ab/hf100_lfx10/seed_210/ba0r210/report.json
