dataset,setting,method,seed,split,metric,value,source
AB,hf200_lfx10,AR1/co-kriging,200,val,nll_cal,-2.7656075789073644,result_out/final_runs/original/ab/hf200_lfx10/seed_200/ba0r200/report.json
AB,hf200_lfx10,Neural-GP MF (ours),200,val,nll_cal,-3.294933914282727,result_out/final_runs/original/ab/hf200_lfx10/seed_200/ba0r200/report.json
AB,hf200_lfx10,HF-only,200,test,nll_raw,-2.868429939545171,result_out/final_runs/original/ab/hf200_lfx10/seed_200/ba0r200/report.json
AB,hf200_lfx10,AR1/co-kriging,200,test,nll_raw,-2.854872535789529,result_out/final_runs/original/ab/hf200_lfx10/seed_200/ba0r200/report.json
AB,hf200_lfx10,Neural-GP MF (ours),200,test,nll_raw,-3.4106576498930643,result_out/final_runs/original/ab/hf200_lfx10/seed_200/ba0r200/report.json
AB,hf200_lfx10,HF-only,200,test,nll_cal,-2.868429939545171,result_out/final_runs/original/ab/hf200_lfx10/seed_200/ba0r200/report.json
AB,hf200_lfx10,AR1/co-kriging,200,test,nll_cal,-2.854872535789529,result_out/final_runs/original/ab/hf200_lfx10/seed_200/ba0r200/report.json
AB,hf200_lfx10,Neural-GP MF (ours),200,test,nll_cal,-3.4106576498930643,result_out/final_runs/original/ab/hf200_lfx10/seed_200/ba0r200/report.json
AB,hf200_lfx10,HF-only,200,val,nlpd_raw,-2.60490869181352,result_out/final_runs/original/ab/hf200_lfx10/seed_200/ba0r200/report.json
AB,hf200_lfx10,AR1/co-kriging,200,val,nlpd_raw,-2.7656075789073644,result_out/final_runs/original/ab/hf200_lfx10/seed_200/ba0r200/report.json
AB,hf200_lfx10,Neural-GP MF (ours),200,val,nlpd_raw,-3.294933914282727,result_out/final_runs/original/ab/hf200_lfx10/seed_200/ba0r200/report.json
AB,hf200_lfx10,HF-only,200,val,nlpd_cal,-2.60490869181352,result_out/final_runs/original/ab/hf200_lfx10/seed_200/ba0r200/report.json
AB,hf200_lfx10,AR1/co-kriging,200,val,nlpd_cal,-2.7656075789073644,result_out/final_runs/original/ab/hf200_lfx10/seed_200/ba0r200/report.json
AB,hf200_lfx10,Neural-GP MF (ours),200,val,nlpd_cal,-3.294933914282727,result_out/final_runs/original/ab/hf200_lfx10/seed_200/ba0r200/report.json
AB,hf200_lfx10,HF-only,200,test,nlpd_raw,-2.868429939545171,result_out/final_runs/original/ab/hf200_lfx10/seed_200/ba0r200/report.json
AB,hf200_lfx10,AR1/co-kriging,200,test,nlpd_raw,-2.854872535789529,result_out/final_runs/original/ab/hf200_lfx10/seed_200/ba0r200/report.json
AB,hf200_lfx10,Neural-GP MF (ours),200,test,nlpd_raw,-3.4106576498930643,result_out/final_runs/original/ab/hf200_lfx10/seed_200/ba0r200/report.json
AB,hf200_lfx10,HF-only,200,test,nlpd_cal,-2.868429939545171,result_out/final_runs/original/ab/hf200_lfx10/seed_200/ba0r200/report.json
AB,hf200_lfx10,AR1/co-kriging,200,test,nlpd_cal,-2.854872535789529,result_out/final_runs/original/ab/hf200_lfx10/seed_200/ba0r200/report.json
AB,hf200_lfx10,Neural-GP MF (ours),200,test,nlpd_cal,-3.4106576498930643,result_out/final_runs/original/ab/hf200_lfx10/seed_200/ba0r200/report.json
AB,hf200_lfx10,HF-only,366,test,target_rmse,0.016044126823544502,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,AR1/co-kriging,366,test,target_rmse,0.013396092690527439,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,Neural-GP MF (ours),366,test,target_rmse,0.010195749811828136,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,HF-only,366,test,y_rmse,0.016044126823544502,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,AR1/co-kriging,366,test,y_rmse,0.013396092690527439,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,Neural-GP MF (ours),366,test,y_rmse,0.010195749811828136,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,HF-only,366,val,r2,0.9730851160938181,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,AR1/co-kriging,366,val,r2,0.984122222229548,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,Neural-GP MF (ours),366,val,r2,0.9920641736930907,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,HF-only,366,test,r2,0.9819207040764154,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,AR1/co-kriging,366,test,r2,0.9873960777974693,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,Neural-GP MF (ours),366,test,r2,0.9926989085621983,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,HF-only,366,val,nll_raw,-2.6092660464809705,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,AR1/co-kriging,366,val,nll_raw,-2.7665516657817437,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,Neural-GP MF (ours),366,val,nll_raw,-3.2374071481379163,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,HF-only,366,val,nll_cal,-2.6092660464809705,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,AR1/co-kriging,366,val,nll_cal,-2.7665516657817437,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,Neural-GP MF (ours),366,val,nll_cal,-3.2374071481379163,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,HF-only,366,test,nll_raw,-2.8591573941787396,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,AR1/co-kriging,366,test,nll_raw,-2.8520098031124834,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,Neural-GP MF (ours),366,test,nll_raw,-3.327752471707598,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,HF-only,366,test,nll_cal,-2.8591573941787396,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,AR1/co-kriging,366,test,nll_cal,-2.8520098031124834,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,Neural-GP MF (ours),366,test,nll_cal,-3.327752471707598,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,HF-only,366,val,nlpd_raw,-2.6092660464809705,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,AR1/co-kriging,366,val,nlpd_raw,-2.7665516657817437,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,Neural-GP MF (ours),366,val,nlpd_raw,-3.2374071481379163,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,HF-only,366,val,nlpd_cal,-2.6092660464809705,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,AR1/co-kriging,366,val,nlpd_cal,-2.7665516657817437,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,Neural-GP MF (ours),366,val,nlpd_cal,-3.2374071481379163,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,HF-only,366,test,nlpd_raw,-2.8591573941787396,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,AR1/co-kriging,366,test,nlpd_raw,-2.8520098031124834,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,Neural-GP MF (ours),366,test,nlpd_raw,-3.327752471707598,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,HF-only,366,test,nlpd_cal,-2.8591573941787396,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,AR1/co-kriging,366,test,nlpd_cal,-2.8520098031124834,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,Neural-GP MF (ours),366,test,nlpd_cal,-3.327752471707598,result_out/final_runs/original/ab/hf200_lfx10/seed_366/ba0r366/report.json
AB,hf200_lfx10,HF-only,250,test,target_rmse,0.0161314494907856,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,AR1/co-kriging,250,test,target_rmse,0.013387808576226234,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,Neural-GP MF (ours),250,test,target_rmse,0.009556514210999012,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,HF-only,250,test,y_rmse,0.0161314494907856,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,AR1/co-kriging,250,test,y_rmse,0.013387808576226234,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,Neural-GP MF (ours),250,test,y_rmse,0.009556514210999012,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,HF-only,250,val,r2,0.9731372815939728,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,AR1/co-kriging,250,val,r2,0.9839966450458538,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,Neural-GP MF (ours),250,val,r2,0.9930755736856822,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,HF-only,250,test,r2,0.9817233667918928,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,AR1/co-kriging,250,test,r2,0.9874116626232284,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,Neural-GP MF (ours),250,test,r2,0.9935857120742566,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,HF-only,250,val,nll_raw,-2.614431150195762,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,AR1/co-kriging,250,val,nll_raw,-2.766513270445042,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,Neural-GP MF (ours),250,val,nll_raw,-3.2461832624025964,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,HF-only,250,val,nll_cal,-2.614431150195762,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,AR1/co-kriging,250,val,nll_cal,-2.766513270445042,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,Neural-GP MF (ours),250,val,nll_cal,-3.2461832624025964,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,HF-only,250,test,nll_raw,-2.8611731797726905,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,AR1/co-kriging,250,test,nll_raw,-2.8515453307258083,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,Neural-GP MF (ours),250,test,nll_raw,-3.39816448452542,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,HF-only,250,test,nll_cal,-2.8611731797726905,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,AR1/co-kriging,250,test,nll_cal,-2.8515453307258083,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,Neural-GP MF (ours),250,test,nll_cal,-3.39816448452542,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,HF-only,250,val,nlpd_raw,-2.614431150195762,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,AR1/co-kriging,250,val,nlpd_raw,-2.766513270445042,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,Neural-GP MF (ours),250,val,nlpd_raw,-3.2461832624025964,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,HF-only,250,val,nlpd_cal,-2.614431150195762,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,AR1/co-kriging,250,val,nlpd_cal,-2.766513270445042,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,Neural-GP MF (ours),250,val,nlpd_cal,-3.2461832624025964,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,HF-only,250,test,nlpd_raw,-2.8611731797726905,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,AR1/co-kriging,250,test,nlpd_raw,-2.8515453307258083,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,Neural-GP MF (ours),250,test,nlpd_raw,-3.39816448452542,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,HF-only,250,test,nlpd_cal,-2.8611731797726905,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,AR1/co-kriging,250,test,nlpd_cal,-2.8515453307258083,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,Neural-GP MF (ours),250,test,nlpd_cal,-3.39816448452542,result_out/final_runs/original/ab/hf200_lfx10/seed_250/ba0r250/report.json
AB,hf200_lfx10,HF-only,260,test,target_rmse,0.016034293919801712,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,AR1/co-kriging,260,test,target_rmse,0.01333514042198658,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,Neural-GP MF (ours),260,test,target_rmse,0.010403190739452839,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,HF-only,260,test,y_rmse,0.016034293919801712,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,AR1/co-kriging,260,test,y_rmse,0.01333514042198658,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,Neural-GP MF (ours),260,test,y_rmse,0.010403190739452839,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,HF-only,260,val,r2,0.9728562477388412,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,AR1/co-kriging,260,val,r2,0.9840471254687188,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,Neural-GP MF (ours),260,val,r2,0.9927984642090886,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,HF-only,260,test,r2,0.9819428559808862,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,AR1/co-kriging,260,test,r2,0.9875105124423446,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,Neural-GP MF (ours),260,test,r2,0.9923987935923138,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,HF-only,260,val,nll_raw,-2.614812598513261,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,AR1/co-kriging,260,val,nll_raw,-2.767250736587207,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,Neural-GP MF (ours),260,val,nll_raw,-3.2343520720952417,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,HF-only,260,val,nll_cal,-2.614812598513261,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,AR1/co-kriging,260,val,nll_cal,-2.767250736587207,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,Neural-GP MF (ours),260,val,nll_cal,-3.2343520720952417,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,HF-only,260,test,nll_raw,-2.864999518915725,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,AR1/co-kriging,260,test,nll_raw,-2.855725284323773,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,Neural-GP MF (ours),260,test,nll_raw,-3.3120459338209924,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,HF-only,260,test,nll_cal,-2.864999518915725,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,AR1/co-kriging,260,test,nll_cal,-2.855725284323773,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,Neural-GP MF (ours),260,test,nll_cal,-3.3120459338209924,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,HF-only,260,val,nlpd_raw,-2.614812598513261,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,AR1/co-kriging,260,val,nlpd_raw,-2.767250736587207,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,Neural-GP MF (ours),260,val,nlpd_raw,-3.2343520720952417,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,HF-only,260,val,nlpd_cal,-2.614812598513261,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,AR1/co-kriging,260,val,nlpd_cal,-2.767250736587207,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,Neural-GP MF (ours),260,val,nlpd_cal,-3.2343520720952417,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,HF-only,260,test,nlpd_raw,-2.864999518915725,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,AR1/co-kriging,260,test,nlpd_raw,-2.855725284323773,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,Neural-GP MF (ours),260,test,nlpd_raw,-3.3120459338209924,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,HF-only,260,test,nlpd_cal,-2.864999518915725,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,AR1/co-kriging,260,test,nlpd_cal,-2.855725284323773,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,Neural-GP MF (ours),260,test,nlpd_cal,-3.3120459338209924,result_out/final_runs/original/ab/hf200_lfx10/seed_260/ba0r260/report.json
AB,hf200_lfx10,HF-only,290,test,target_rmse,0.016034932807087898,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,AR1/co-kriging,290,test,target_rmse,0.013442950323224068,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,Neural-GP MF (ours),290,test,target_rmse,0.009209434501826763,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,HF-only,290,test,y_rmse,0.016034932807087898,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,AR1/co-kriging,290,test,y_rmse,0.013442950323224068,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,Neural-GP MF (ours),290,test,y_rmse,0.009209434501826763,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,HF-only,290,val,r2,0.972470662247985,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,AR1/co-kriging,290,val,r2,0.983740024090939,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,Neural-GP MF (ours),290,val,r2,0.9929010159829239,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,HF-only,290,test,r2,0.9819414176020917,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,AR1/co-kriging,290,test,r2,0.9873077508160768,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,Neural-GP MF (ours),290,test,r2,0.9940431686221008,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,HF-only,290,val,nll_raw,-2.6094698498946216,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,AR1/co-kriging,290,val,nll_raw,-2.76409053863915,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,Neural-GP MF (ours),290,val,nll_raw,-3.24347797803127,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,HF-only,290,val,nll_cal,-2.6094698498946216,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,AR1/co-kriging,290,val,nll_cal,-2.76409053863915,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,Neural-GP MF (ours),290,val,nll_cal,-3.24347797803127,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,HF-only,290,test,nll_raw,-2.8633989528731534,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,AR1/co-kriging,290,test,nll_raw,-2.8537945752482337,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,Neural-GP MF (ours),290,test,nll_raw,-3.3796056506056935,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,HF-only,290,test,nll_cal,-2.8633989528731534,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,AR1/co-kriging,290,test,nll_cal,-2.8537945752482337,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,Neural-GP MF (ours),290,test,nll_cal,-3.3796056506056935,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,HF-only,290,val,nlpd_raw,-2.6094698498946216,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,AR1/co-kriging,290,val,nlpd_raw,-2.76409053863915,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,Neural-GP MF (ours),290,val,nlpd_raw,-3.24347797803127,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,HF-only,290,val,nlpd_cal,-2.6094698498946216,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,AR1/co-kriging,290,val,nlpd_cal,-2.76409053863915,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,Neural-GP MF (ours),290,val,nlpd_cal,-3.24347797803127,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,HF-only,290,test,nlpd_raw,-2.8633989528731534,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,AR1/co-kriging,290,test,nlpd_raw,-2.8537945752482337,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,Neural-GP MF (ours),290,test,nlpd_raw,-3.3796056506056935,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,HF-only,290,test,nlpd_cal,-2.8633989528731534,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,AR1/co-kriging,290,test,nlpd_cal,-2.8537945752482337,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,Neural-GP MF (ours),290,test,nlpd_cal,-3.3796056506056935,result_out/final_runs/original/ab/hf200_lfx10/seed_290/ba0r290/report.json
AB,hf200_lfx10,HF-only,377,test,target_rmse,0.0159675944596529,result_out/final_runs/original/ab/hf200_lfx10/seed_377/ba0r377/report.json
AB,hf200_lfx10,AR1/co-kriging,377,test,target_rmse,0.013456631451845169,result_out/final_runs/original/ab/hf200_lfx10/seed_377/ba0r377/report.json
AB,hf200_lfx10,Neural-GP MF (ours),377,test,target_rmse,0.0090317502617836,result_out/final_runs/original/ab/hf200_lfx10/seed_377/ba0r377/report.json
AB,hf200_lfx10,HF-only,377,test,y_rmse,0.0159675944596529,result_out/final_runs/original/ab/hf200_lfx10/seed_377/ba0r377/report.json
AB,hf200_lfx10,AR1/co-kriging,377,test,y_rmse,0.013456631451845169,result_out/final_runs/original/ab/hf200_lfx10/seed_377/ba0r377/report.json
AB,hf200_lfx10,Neural-GP MF (ours),377,test,y_rmse,0.0090317502617836,result_out/final_runs/original/ab/hf200_lfx10/seed_377/ba0r377/report.json
AB,hf200_lfx10,HF-only,377,val,r2,0.9726883434333284,result_out/final_runs/original/ab/hf200_lfx10/seed_377/ba0r377/report.json
AB,hf200_lfx10,AR1/co-kriging,377,val,r2,0.9838552254360182,result_out/final_runs/original/ab/hf200_lfx10/seed_377/ba0r377/report.json
AB,hf200_lfx10,Neural-GP MF (ours),377,val,r2,0.9934984475902554,result_out/final_runs/original/ab/hf200_lfx10/seed_377/ba0r377/report.json
AB,hf200_lfx10,HF-only,377,test,r2,0.982092773695775,result_out/final_runs/original/ab/hf200_lfx10/seed_377/ba0r377/report.json
AB,hf200_lfx10,AR1/co-kriging,377,test,r2,0.9872819037622323,result_out/final_runs/original/ab/hf200_lfx10/seed_377/ba0r377/report.json
AB,hf200_lfx10,Neural-GP MF (ours),377,test,r2,0.9942708093288805,result_out/final_runs/original/ab/hf200_lfx10/seed_377/ba0r377/report.json
AB,hf200_lfx10,HF-only,377,val,nll_raw,-2.606576542786246,result_out/final_runs/original/ab/hf200_lfx10/seed_377/ba0r377/report.json
AB,hf200_lfx10,AR1/co-kriging,377,val,nll_raw,-2.7653286947213775,result_out/final_runs/original/ab/hf200_lfx10/seed_377/ba0r377/report.json
