dataset,setting,method,split,metric,n,mean,std,median,min,max,ci95_low,ci95_high
AB,hf100_lfx10,HF-only,val,nll_raw,20,-2.6285387643425535,0.0038588328114949493,-2.6290346296330718,-2.6356258640973738,-2.620843542627699,-2.630344753690299,-2.626732774994808
AB,hf100_lfx10,HF-only,val,nlpd_cal,20,-2.6285387643425535,0.0038588328114949493,-2.6290346296330718,-2.6356258640973738,-2.620843542627699,-2.630344753690299,-2.626732774994808
AB,hf100_lfx10,HF-only,val,nlpd_raw,20,-2.6285387643425535,0.0038588328114949493,-2.6290346296330718,-2.6356258640973738,-2.620843542627699,-2.630344753690299,-2.626732774994808
AB,hf100_lfx10,HF-only,val,r2,20,0.9678908089348711,0.00021662766693160827,0.9679345707134563,0.967481255440092,0.9682795643995312,0.967789424065918,0.9679921938038243
AB,hf100_lfx10,MF-DeepONet,test,r2,20,0.9755251497015374,0.003280516127993355,0.9759408805432334,0.9660154926694504,0.9803293230813103,0.9739898208931436,0.9770604785099312
AB,hf100_lfx10,MF-DeepONet,test,rmse,20,0.018629984640844095,0.0012130312333378376,0.018508241029446582,0.016735355630686198,0.021997117881182093,0.018062268548204675,0.019197700733483515
AB,hf100_lfx10,MF-DeepONet,val,r2,20,0.9831843753520969,0.0018579485882067152,0.9838488387716637,0.9785439148362438,0.9857023035804331,0.9823148286464286,0.9840539220577652
AB,hf100_lfx10,MF-DeepONet,val,rmse,20,0.017015420775564286,0.0009229466539619776,0.01669904833979528,0.015711777490810326,0.019247198550161916,0.01658346844515303,0.017447373105975543
AB,hf100_lfx10,Neural-GP MF (ours),test,nll_cal,20,-3.1794480383529056,0.026139951936473338,-3.179440940146889,-3.213476705280529,-3.121910140782312,-3.191681912442299,-3.167214164263512
AB,hf100_lfx10,Neural-GP MF (ours),test,nll_raw,20,-3.1794480383529056,0.026139951936473338,-3.179440940146889,-3.213476705280529,-3.121910140782312,-3.191681912442299,-3.167214164263512
AB,hf100_lfx10,Neural-GP MF (ours),test,nlpd_cal,20,-3.1794480383529056,0.026139951936473338,-3.179440940146889,-3.213476705280529,-3.121910140782312,-3.191681912442299,-3.167214164263512
AB,hf100_lfx10,Neural-GP MF (ours),test,nlpd_raw,20,-3.1794480383529056,0.026139951936473338,-3.179440940146889,-3.213476705280529,-3.121910140782312,-3.191681912442299,-3.167214164263512
AB,hf100_lfx10,Neural-GP MF (ours),test,r2,20,0.987774909732086,0.0009522328429494945,0.9880203626574706,0.9854105735567372,0.9888012311748534,0.9873292510433195,0.9882205684208526
AB,hf100_lfx10,Neural-GP MF (ours),test,target_rmse,20,0.013184068771079183,0.0005045158665432175,0.013059496879577637,0.012627298012375832,0.014412667602300644,0.012947948077269534,0.013420189464888833
AB,hf100_lfx10,Neural-GP MF (ours),test,y_rmse,20,0.013184068771079183,0.0005045158665432175,0.013059496879577637,0.012627298012375832,0.014412667602300644,0.012947948077269534,0.013420189464888833
AB,hf100_lfx10,Neural-GP MF (ours),val,nll_cal,20,-3.111837711897247,0.034377746951044674,-3.1110877242157424,-3.2175202020457916,-3.0625814807755063,-3.1279269927305937,-3.0957484310639
AB,hf100_lfx10,Neural-GP MF (ours),val,nll_raw,20,-3.111837711897247,0.034377746951044674,-3.1110877242157424,-3.2175202020457916,-3.0625814807755063,-3.1279269927305937,-3.0957484310639
AB,hf100_lfx10,Neural-GP MF (ours),val,nlpd_cal,20,-3.111837711897247,0.034377746951044674,-3.1110877242157424,-3.2175202020457916,-3.0625814807755063,-3.1279269927305937,-3.0957484310639
AB,hf100_lfx10,Neural-GP MF (ours),val,nlpd_raw,20,-3.111837711897247,0.034377746951044674,-3.1110877242157424,-3.2175202020457916,-3.0625814807755063,-3.1279269927305937,-3.0957484310639
AB,hf100_lfx10,Neural-GP MF (ours),val,r2,20,0.9886419863698773,0.0011023820779474294,0.988716122414556,0.9864760627808121,0.9910854155625289,0.9881260556760189,0.9891579170637358
AB,hf200_lfx10,AR1/co-kriging,test,nll_cal,20,-2.852646186241987,0.002050127082801149,-2.852940354991911,-2.855725284323773,-2.8477864524731764,-2.8536056752517296,-2.8516866972322448
AB,hf200_lfx10,AR1/co-kriging,test,nll_raw,20,-2.852646186241987,0.002050127082801149,-2.852940354991911,-2.855725284323773,-2.8477864524731764,-2.8536056752517296,-2.8516866972322448
AB,hf200_lfx10,AR1/co-kriging,test,nlpd_cal,20,-2.852646186241987,0.002050127082801149,-2.852940354991911,-2.855725284323773,-2.8477864524731764,-2.8536056752517296,-2.8516866972322448
AB,hf200_lfx10,AR1/co-kriging,test,nlpd_raw,20,-2.852646186241987,0.002050127082801149,-2.852940354991911,-2.855725284323773,-2.8477864524731764,-2.8536056752517296,-2.8516866972322448
AB,hf200_lfx10,AR1/co-kriging,test,r2,20,0.987345691310046,0.0001115931435696549,0.9873135297675795,0.9871213430967342,0.9875828944907952,0.9872934641111978,0.9873979185088942
AB,hf200_lfx10,AR1/co-kriging,test,target_rmse,20,0.013422718923538923,5.920994474864834e-05,0.013439889531582594,0.013296443037688732,0.013541307300329208,0.013395007816393228,0.013450430030684617
AB,hf200_lfx10,AR1/co-kriging,test,y_rmse,20,0.013422718923538923,5.920994474864834e-05,0.013439889531582594,0.013296443037688732,0.013541307300329208,0.013395007816393228,0.013450430030684617
AB,hf200_lfx10,AR1/co-kriging,val,nll_cal,20,-2.765187593934928,0.002195663184033358,-2.7651911197973007,-2.768745491314589,-2.760384973210339,-2.7662151959367014,-2.7641599919331545
AB,hf200_lfx10,AR1/co-kriging,val,nll_raw,20,-2.765187593934928,0.002195663184033358,-2.7651911197973007,-2.768745491314589,-2.760384973210339,-2.7662151959367014,-2.7641599919331545
AB,hf200_lfx10,AR1/co-kriging,val,nlpd_cal,20,-2.765187593934928,0.002195663184033358,-2.7651911197973007,-2.768745491314589,-2.760384973210339,-2.7662151959367014,-2.7641599919331545
AB,hf200_lfx10,AR1/co-kriging,val,nlpd_raw,20,-2.765187593934928,0.002195663184033358,-2.7651911197973007,-2.768745491314589,-2.760384973210339,-2.7662151959367014,-2.7641599919331545
AB,hf200_lfx10,AR1/co-kriging,val,r2,20,0.984003593152415,0.00014188016348609715,0.9839899726495562,0.983740024090939,0.9842514451927624,0.9839371911919184,0.9840699951129117
AB,hf200_lfx10,FPCA-NARGP,test,coverage_raw,20,0.9777450025081634,0.003408112003492769,0.9781500101089478,0.9715999960899353,0.9818999767303467,0.9761499569918362,0.9793400480244907
AB,hf200_lfx10,FPCA-NARGP,test,gaussian_nll,20,-2.9687271500675236,0.006840215108976366,-2.9692815033044537,-2.985987165229675,-2.954108778066204,-2.9719284692815355,-2.9655258308535117
AB,hf200_lfx10,FPCA-NARGP,test,gaussian_nlpd,20,-2.9687271500675236,0.006840215108976366,-2.9692815033044537,-2.985987165229675,-2.954108778066204,-2.9719284692815355,-2.9655258308535117
AB,hf200_lfx10,FPCA-NARGP,test,interval_width_raw,20,0.06541638262569904,0.0003892820060718612,0.06548473611474037,0.06436894834041595,0.06596428900957108,0.06523419303869737,0.06559857221270071
