seed,hf,lf_mult,dataset_name,status,metrics.y_rmse.hf_only,metrics.y_rmse.ar1,metrics.y_rmse.ours
230,50,5,hf50_lfx05,OK,0.0231249500066041,0.0178256053477525,0.0180426631122827
230,50,5,hf50_lfx05,BAD,,,
300,50,5,hf50_lfx05,OK,0.0232288409024477,0.0178035199642181,0.0162655636668205
300,50,5,hf50_lfx05,BAD,,,
250,50,5,hf50_lfx05,OK,0.0232384297996759,0.0177664011716842,0.0167124439030885
250,50,5,hf50_lfx05,BAD,,,
355,50,5,hf50_lfx05,OK,0.0232449416071176,0.0177671685814857,0.0180205721408128
355,50,5,hf50_lfx05,BAD,,,
377,50,5,hf50_lfx05,OK,0.0231345389038324,0.0177885070443153,0.0182947497814893
377,50,5,hf50_lfx05,BAD,,,
388,50,5,hf50_lfx05,OK,0.0232249815016984,0.0177938025444746,0.0163711979985237
388,50,5,hf50_lfx05,BAD,,,
322,50,5,hf50_lfx05,OK,0.0231389161199331,0.017806177958846,0.0169443357735872
322,50,5,hf50_lfx05,BAD,,,
210,50,5,hf50_lfx05,OK,0.0231175608932971,0.0177590865641832,0.0182165019214153
210,50,5,hf50_lfx05,BAD,,,
366,50,5,hf50_lfx05,OK,0.0231414772570133,0.0177792944014072,0.0185935627669096
366,50,5,hf50_lfx05,BAD,,,
260,50,5,hf50_lfx05,OK,0.0231219325214624,0.0177666917443275,0.0185772534459829
260,50,5,hf50_lfx05,BAD,,,
290,50,5,hf50_lfx05,OK,0.0232259836047887,0.0177848935127258,0.0169702377170324
290,50,5,hf50_lfx05,BAD,,,
280,50,5,hf50_lfx05,OK,0.0231176875531673,0.0177420880645513,0.0175127256661653
280,50,5,hf50_lfx05,BAD,,,
344,50,5,hf50_lfx05,OK,0.0231147818267345,0.017766585573554,0.0173229854553937
344,50,5,hf50_lfx05,BAD,,,
270,50,5,hf50_lfx05,OK,0.0232240036129951,0.0177761111408472,0.0176589749753475
270,50,5,hf50_lfx05,BAD,,,
240,50,5,hf50_lfx05,OK,0.023224901407957,0.0177703965455293,0.017240684479475
240,50,5,hf50_lfx05,BAD,,,
220,50,5,hf50_lfx05,OK,0.0231078062206506,0.0177221540361642,0.0176897682249546
220,50,5,hf50_lfx05,BAD,,,
333,50,5,hf50_lfx05,OK,0.0231262408196926,0.0177830606698989,0.0176884941756725
333,50,5,hf50_lfx05,BAD,,,
399,50,5,hf50_lfx05,OK,0.0231169462203979,0.0177542325109243,0.017460199072957
399,50,5,hf50_lfx05,BAD,,,
311,50,5,hf50_lfx05,OK,0.0232505034655332,0.0177333336323499,0.016436418518424
311,50,5,hf50_lfx05,BAD,,,
200,50,5,hf50_lfx05,OK,0.023108946159482,0.0177454948425292,0.0192977227270603
200,50,5,hf50_lfx05,BAD,,,
230,50,15,hf50_lfx15,OK,0.0231249500066041,0.0171237159520387,0.0173658821731805
230,50,15,hf50_lfx15,BAD,,,
300,50,15,hf50_lfx15,OK,0.0232288409024477,0.0171454604715108,0.0171717684715986
300,50,15,hf50_lfx15,BAD,,,
250,50,15,hf50_lfx15,OK,0.0232384297996759,0.0171137992292642,0.0171062666922807
250,50,15,hf50_lfx15,BAD,,,
355,50,15,hf50_lfx15,OK,0.0232449416071176,0.0171783734112977,0.0166303571313619
355,50,15,hf50_lfx15,BAD,,,
377,50,15,hf50_lfx15,OK,0.0231345389038324,0.0172335188835859,0.0174006950110197
377,50,15,hf50_lfx15,BAD,,,
388,50,15,hf50_lfx15,OK,0.0232249815016984,0.0171990245580673,0.0177239496260881
388,50,15,hf50_lfx15,BAD,,,
322,50,15,hf50_lfx15,OK,0.0231389161199331,0.0172794703394174,0.0173650365322828
322,50,15,hf50_lfx15,BAD,,,
210,50,15,hf50_lfx15,OK,0.0231175608932971,0.0172795001417398,0.017287079244852
210,50,15,hf50_lfx15,BAD,,,
366,50,15,hf50_lfx15,OK,0.0231414772570133,0.0171806141734123,0.0167987421154975
366,50,15,hf50_lfx15,BAD,,,
260,50,15,hf50_lfx15,OK,0.0231219325214624,0.0171850603073835,0.0176497884094715
260,50,15,hf50_lfx15,BAD,,,
290,50,15,hf50_lfx15,OK,0.0232259836047887,0.0171420276165008,0.0173066351562738
290,50,15,hf50_lfx15,BAD,,,
280,50,15,hf50_lfx15,OK,0.0231176875531673,0.017112037166953,0.0166186355054378
280,50,15,hf50_lfx15,BAD,,,
344,50,15,hf50_lfx15,OK,0.0231147818267345,0.0171070639044046,0.016768729314208
344,50,15,hf50_lfx15,BAD,,,
270,50,15,hf50_lfx15,OK,0.0232240036129951,0.0171661432832479,0.0163708105683326
270,50,15,hf50_lfx15,BAD,,,
240,50,15,hf50_lfx15,OK,0.023224901407957,0.0171743892133235,0.016349172219634
240,50,15,hf50_lfx15,BAD,,,
220,50,15,hf50_lfx15,OK,0.0231078062206506,0.017099380493164,0.0157111696898937
220,50,15,hf50_lfx15,BAD,,,
333,50,15,hf50_lfx15,OK,0.0231262408196926,0.0171839836984872,0.0156507361680269
333,50,15,hf50_lfx15,BAD,,,
399,50,15,hf50_lfx15,OK,0.0231169462203979,0.0171612706035375,0.0163357350975275
399,50,15,hf50_lfx15,BAD,,,
311,50,15,hf50_lfx15,OK,0.0232505034655332,0.0171570554375648,0.0166156310588121
311,50,15,hf50_lfx15,BAD,,,
200,50,15,hf50_lfx15,OK,0.023108946159482,0.0171746388077735,0.0164299458265304
200,50,15,hf50_lfx15,BAD,,,
230,400,10,hf400_lfx10,OK,0.0127704041078686,0.0119003970175981,0.0099415024742484
230,400,10,hf400_lfx10,BAD,,,
300,400,10,hf400_lfx10,OK,0.0127463182434439,0.0119360946118831,0.0089433006942272
300,400,10,hf400_lfx10,BAD,,,
250,400,10,hf400_lfx10,OK,0.0128081487491726,0.0119241038337349,0.0095139555633068
250,400,10,hf400_lfx10,BAD,,,
355,400,10,hf400_lfx10,OK,0.0126954549923539,0.0118952272459864,0.0095666125416755
355,400,10,hf400_lfx10,BAD,,,
377,400,10,hf400_lfx10,OK,0.0127700986340641,0.0120263136923313,0.0092592742294073
377,400,10,hf400_lfx10,BAD,,,
388,400,10,hf400_lfx10,OK,0.0128726186230778,0.0119048543274402,0.0092506166547536
388,400,10,hf400_lfx10,BAD,,,
322,400,10,hf400_lfx10,OK,0.0127256708219647,0.0120903868228197,0.0095043741166591
322,400,10,hf400_lfx10,BAD,,,
210,400,10,hf400_lfx10,OK,0.0127947814762592,0.0117616010829806,0.0089456429705023
210,400,10,hf400_lfx10,BAD,,,
366,400,10,hf400_lfx10,OK,0.0127897495403885,0.0120509229600429,0.0096222748979926
366,400,10,hf400_lfx10,BAD,,,
260,400,10,hf400_lfx10,OK,0.0128387315198779,0.0119400387629866,0.0083101391792297
260,400,10,hf400_lfx10,BAD,,,
290,400,10,hf400_lfx10,OK,0.0127331605181097,0.0118683194741606,0.0086263725534081
290,400,10,hf400_lfx10,BAD,,,
280,400,10,hf400_lfx10,OK,0.0129014765843749,0.0120238149538636,0.0090340198948979
280,400,10,hf400_lfx10,BAD,,,
344,400,10,hf400_lfx10,OK,0.0127136930823326,0.0119752790778875,0.0097623197361826
344,400,10,hf400_lfx10,BAD,,,
270,400,10,hf400_lfx10,OK,0.0128183253109455,0.0119296601042151,0.009289433248341
270,400,10,hf400_lfx10,BAD,,,
240,400,10,hf400_lfx10,OK,0.0127183888107538,0.011952712200582,0.009234701283276
240,400,10,hf400_lfx10,BAD,,,
220,400,10,hf400_lfx10,OK,0.0127855949103832,0.0119551979005336,0.0087924068793654
220,400,10,hf400_lfx10,BAD,,,
333,400,10,hf400_lfx10,OK,0.0129024619236588,0.0118042090907692,0.0089704180136322
333,400,10,hf400_lfx10,BAD,,,
399,400,10,hf400_lfx10,OK,0.0127541869878768,0.011999549344182,0.0085776634514331
399,400,10,hf400_lfx10,BAD,,,
311,400,10,hf400_lfx10,OK,0.0127976704388856,0.0120310122147202,0.0092624435201287
311,400,10,hf400_lfx10,BAD,,,
200,400,10,hf400_lfx10,OK,0.0126742413267493,0.0119883874431252,0.0096392557024955
200,400,10,hf400_lfx10,BAD,,,
230,200,15,hf200_lfx15,OK,0.0160037744790315,0.0130969388410449,0.0102964024990797
230,200,15,hf200_lfx15,BAD,,,
300,200,15,hf200_lfx15,OK,0.0160640645772218,0.0134583534672856,0.0095847379416227
300,200,15,hf200_lfx15,BAD,,,
250,200,15,hf200_lfx15,OK,0.0160989575088024,0.0133399590849876,0.0091114547103643
250,200,15,hf200_lfx15,BAD,,,
355,200,15,hf200_lfx15,OK,0.0159696135669946,0.0131750842556357,0.0096754590049386
355,200,15,hf200_lfx15,BAD,,,
377,200,15,hf200_lfx15,OK,0.0159830283373594,0.0132045112550258,0.0091389799490571
377,200,15,hf200_lfx15,BAD,,,
388,200,15,hf200_lfx15,OK,0.0159996580332517,0.013349893502891,0.0101901749148964
388,200,15,hf200_lfx15,BAD,,,
322,200,15,hf200_lfx15,OK,0.0160562247037887,0.0132753085345029,0.009366569109261
322,200,15,hf200_lfx15,BAD,,,
210,200,15,hf200_lfx15,OK,0.0159591604024171,0.0133396591991186,0.0098939724266529
210,200,15,hf200_lfx15,BAD,,,
366,200,15,hf200_lfx15,OK,0.0160227622836828,0.0133903287351131,0.0099600050598382
366,200,15,hf200_lfx15,BAD,,,
260,200,15,hf200_lfx15,OK,0.0159346666187047,0.0132715394720435,0.0095518846064805
260,200,15,hf200_lfx15,BAD,,,
290,200,15,hf200_lfx15,OK,0.0160757377743721,0.0132537484169006,0.0089509263634681
290,200,15,hf200_lfx15,BAD,,,
280,200,15,hf200_lfx15,OK,0.0160719994455575,0.013147841207683,0.0090727424249053
280,200,15,hf200_lfx15,BAD,,,
344,200,15,hf200_lfx15,OK,0.0160331968218088,0.0132922958582639,0.0099629471078515
344,200,15,hf200_lfx15,BAD,,,
270,200,15,hf200_lfx15,OK,0.015993257984519,0.0131769469007849,0.0091322213411331
270,200,15,hf200_lfx15,BAD,,,
240,200,15,hf200_lfx15,OK,0.0160316973924636,0.0132504869252443,0.0091324690729379
240,200,15,hf200_lfx15,BAD,,,
220,200,15,hf200_lfx15,OK,0.0160199739038944,0.013199902139604,0.0096727581694722
220,200,15,hf200_lfx15,BAD,,,
333,200,15,hf200_lfx15,OK,0.0160732213407754,0.0132423033937811,0.0106980707496404
333,200,15,hf200_lfx15,BAD,,,
399,200,15,hf200_lfx15,OK,0.0159624423831701,0.0132499197497963,0.0095052737742662
399,200,15,hf200_lfx15,BAD,,,
311,200,15,hf200_lfx15,OK,0.0160127971321344,0.0132155176252126,0.009057443588972
311,200,15,hf200_lfx15,BAD,,,
200,200,15,hf200_lfx15,OK,0.0159486848860979,0.0132266646251082,0.0098774284124374
200,200,15,hf200_lfx15,BAD,,,
230,300,15,hf300_lfx15,OK,0.0128636769950389,0.0123822875320911,0.0098864873871207
230,300,15,hf300_lfx15,BAD,,,
300,300,15,hf300_lfx15,OK,0.0130827780812978,0.0122138634324073,0.0104567138478159
300,300,15,hf300_lfx15,BAD,,,
250,300,15,hf300_lfx15,OK,0.0129913548007607,0.012204254977405,0.0101101957261562
250,300,15,hf300_lfx15,BAD,,,
355,300,15,hf300_lfx15,OK,0.0129854409024119,0.0122109409421682,0.0092496266588568
355,300,15,hf300_lfx15,BAD,,,
377,300,15,hf300_lfx15,OK,0.0128043610602617,0.0124199222773313,0.010275462642312
377,300,15,hf300_lfx15,BAD,,,
388,300,15,hf300_lfx15,OK,0.0128901693969964,0.0122895827516913,0.0099548147991299
388,300,15,hf300_lfx15,BAD,,,
322,300,15,hf300_lfx15,OK,0.0128926252946257,0.0121822720393538,0.0090982224792242
322,300,15,hf300_lfx15,BAD,,,
210,300,15,hf300_lfx15,OK,0.0128826610743999,0.0121982768177986,0.0085156168788671
210,300,15,hf300_lfx15,BAD,,,
366,300,15,hf300_lfx15,OK,0.012944889254868,0.0124004269018769,0.0097271855920553
366,300,15,hf300_lfx15,BAD,,,
260,300,15,hf300_lfx15,OK,0.0129741448909044,0.0124926669523119,0.0093768732622265
260,300,15,hf300_lfx15,BAD,,,
290,300,15,hf300_lfx15,OK,0.012873126193881,0.0122713595628738,0.0084791546687483
290,300,15,hf300_lfx15,BAD,,,
280,300,15,hf300_lfx15,OK,0.0129032898694276,0.0122401108965277,0.0091251293197274
280,300,15,hf300_lfx15,BAD,,,
344,300,15,hf300_lfx15,OK,0.012830994091928,0.0122320801019668,0.010981285944581
344,300,15,hf300_lfx15,BAD,,,
270,300,15,hf300_lfx15,OK,0.0129543598741292,0.0121908411383628,0.0094551360234618
270,300,15,hf300_lfx15,BAD,,,
240,300,15,hf300_lfx15,OK,0.0129476431757211,0.0123079363256692,0.0104706268757581
240,300,15,hf300_lfx15,BAD,,,
220,300,15,hf300_lfx15,OK,0.0128805236890912,0.0122480578720569,0.0093597751110792
220,300,15,hf300_lfx15,BAD,,,
333,300,15,hf300_lfx15,OK,0.0129616754129529,0.0123616838827729,0.0094272075220942
333,300,15,hf300_lfx15,BAD,,,
399,300,15,hf300_lfx15,OK,0.0129869161173701,0.012158908881247,0.0092948637902736
399,300,15,hf300_lfx15,BAD,,,
311,300,15,hf300_lfx15,OK,0.0127308536320924,0.0124125368893146,0.0096403388306498
311,300,15,hf300_lfx15,BAD,,,
200,300,15,hf300_lfx15,OK,0.0129631785675883,0.0122899711132049,0.0100974701344966
200,300,15,hf300_lfx15,BAD,,,
230,500,5,hf500_lfx05,OK,0.0117785353213548,0.0108317686244845,0.0071833431720733
230,500,5,hf500_lfx05,BAD,,,
300,500,5,hf500_lfx05,OK,0.0119096562266349,0.0110525777563452,0.0088730519637465
300,500,5,hf500_lfx05,BAD,,,
250,500,5,hf500_lfx05,OK,0.0118756368756294,0.0109873916953802,0.0076406332664191
250,500,5,hf500_lfx05,BAD,,,
355,500,5,hf500_lfx05,OK,0.0117891151458024,0.0109105864539742,0.0082295350730419
355,500,5,hf500_lfx05,BAD,,,
377,500,5,hf500_lfx05,OK,0.0117430035024881,0.0110067250207066,0.0077039045281708
377,500,5,hf500_lfx05,BAD,,,
388,500,5,hf500_lfx05,OK,0.0118786944076418,0.0108397472649812,0.0080783618614077
388,500,5,hf500_lfx05,BAD,,,
322,500,5,hf500_lfx05,OK,0.0118776885792613,0.0109612122178077,0.0084115117788314
322,500,5,hf500_lfx05,BAD,,,
210,500,5,hf500_lfx05,OK,0.0118120806291699,0.0110904900357127,0.0072071738541126
210,500,5,hf500_lfx05,BAD,,,
366,500,5,hf500_lfx05,OK,0.011865435168147,0.0107689155265688,0.0086460635066032
366,500,5,hf500_lfx05,BAD,,,
260,500,5,hf500_lfx05,OK,0.011842168867588,0.0109515096992254,0.0076762516982853
260,500,5,hf500_lfx05,BAD,,,
290,500,5,hf500_lfx05,OK,0.0118542294949293,0.0110471900552511,0.0076933014206588
290,500,5,hf500_lfx05,BAD,,,
280,500,5,hf500_lfx05,OK,0.0118388691917061,0.0109396623447537,0.0089020822197198
280,500,5,hf500_lfx05,BAD,,,
344,500,5,hf500_lfx05,OK,0.0118296574801206,0.0109519949182868,0.0084857884794473
344,500,5,hf500_lfx05,BAD,,,
270,500,5,hf500_lfx05,OK,0.0117909461259841,0.0109602650627493,0.0080301305279135
270,500,5,hf500_lfx05,BAD,,,
240,500,5,hf500_lfx05,OK,0.0118658086284995,0.0109993303194642,0.0092434799298644
240,500,5,hf500_lfx05,BAD,,,
220,500,5,hf500_lfx05,OK,0.0118717467412352,0.0109166856855154,0.0090090213343501
220,500,5,hf500_lfx05,BAD,,,
333,500,5,hf500_lfx05,OK,0.0118035599589347,0.0111063634976744,0.008635900914669
333,500,5,hf500_lfx05,BAD,,,
399,500,5,hf500_lfx05,OK,0.0118940901011228,0.0108836097642779,0.0088058104738593
399,500,5,hf500_lfx05,BAD,,,
311,500,5,hf500_lfx05,OK,0.0118910726159811,0.0109605016186833,0.0079370643943548
311,500,5,hf500_lfx05,BAD,,,
200,500,5,hf500_lfx05,OK,0.0118301780894398,0.0109522910788655,0.0085880449041724
200,500,5,hf500_lfx05,BAD,,,
230,400,5,hf400_lfx05,OK,0.0127704041078686,0.0119048962369561,0.0113605540245771
230,400,5,hf400_lfx05,BAD,,,
300,400,5,hf400_lfx05,OK,0.0127463182434439,0.0120736332610249,0.0105568887665867
300,400,5,hf400_lfx05,BAD,,,
250,400,5,hf400_lfx05,OK,0.0128081487491726,0.011918406933546,0.0092622432857751
250,400,5,hf400_lfx05,BAD,,,
355,400,5,hf400_lfx05,OK,0.0126954549923539,0.0119135351851582,0.0091622211039066
355,400,5,hf400_lfx05,BAD,,,
377,400,5,hf400_lfx05,OK,0.0127700986340641,0.0119540989398956,0.0087537374347448
377,400,5,hf400_lfx05,BAD,,,
388,400,5,hf400_lfx05,OK,0.0128726186230778,0.0119870798662304,0.0097255688160657
388,400,5,hf400_lfx05,BAD,,,
322,400,5,hf400_lfx05,OK,0.0127256708219647,0.0119976149871945,0.0092613119632005
322,400,5,hf400_lfx05,BAD,,,
210,400,5,hf400_lfx05,OK,0.0127947814762592,0.0118750445544719,0.0087522799149155
210,400,5,hf400_lfx05,BAD,,,
366,400,5,hf400_lfx05,OK,0.0127897495403885,0.0120491022244095,0.0111437924206256
366,400,5,hf400_lfx05,BAD,,,
260,400,5,hf400_lfx05,OK,0.0128387315198779,0.0119500756263732,0.0104403058066964
260,400,5,hf400_lfx05,BAD,,,
290,400,5,hf400_lfx05,OK,0.0127331605181097,0.0119553217664361,0.0107257422059774
290,400,5,hf400_lfx05,BAD,,,
280,400,5,hf400_lfx05,OK,0.0129014765843749,0.0119473887607455,0.0090513508766889
280,400,5,hf400_lfx05,BAD,,,
344,400,5,hf400_lfx05,OK,0.0127136930823326,0.0120123755186796,0.0100089013576507
344,400,5,hf400_lfx05,BAD,,,
270,400,5,hf400_lfx05,OK,0.0128183253109455,0.0119353821501135,0.0107705220580101
270,400,5,hf400_lfx05,BAD,,,
