source_job_id,phase,dataset,setting,method,kind,hf_budget,lf_multiplier,seed,freq_start,freq_end,explicit_scientific_options_json
original_tm_hf50_lfx05_seed_344,phase1_accuracy,TM,hf50_lfx05,HF-only+AR1/co-kriging+Neural-GP MF,original_bundle,50,5,344,,,"{""fpca_var_ratio"":""0.999"",""gp_ard"":""1"",""methods"":""hf_only,ar1,ours"",""svgp_M"":""64"",""svgp_steps"":""2000"",""wl_high"":""750.0"",""wl_low"":""380.0""}"
original_tm_hf50_lfx05_seed_355,phase1_accuracy,TM,hf50_lfx05,HF-only+AR1/co-kriging+Neural-GP MF,original_bundle,50,5,355,,,"{""fpca_var_ratio"":""0.999"",""gp_ard"":""1"",""methods"":""hf_only,ar1,ours"",""svgp_M"":""64"",""svgp_steps"":""2000"",""wl_high"":""750.0"",""wl_low"":""380.0""}"
original_tm_hf50_lfx05_seed_366,phase1_accuracy,TM,hf50_lfx05,HF-only+AR1/co-kriging+Neural-GP MF,original_bundle,50,5,366,,,"{""fpca_var_ratio"":""0.999"",""gp_ard"":""1"",""methods"":""hf_only,ar1,ours"",""svgp_M"":""64"",""svgp_steps"":""2000"",""wl_high"":""750.0"",""wl_low"":""380.0""}"
original_tm_hf50_lfx05_seed_377,phase1_accuracy,TM,hf50_lfx05,HF-only+AR1/co-kriging+Neural-GP MF,original_bundle,50,5,377,,,"{""fpca_var_ratio"":""0.999"",""gp_ard"":""1"",""methods"":""hf_only,ar1,ours"",""svgp_M"":""64"",""svgp_steps"":""2000"",""wl_high"":""750.0"",""wl_low"":""380.0""}"
original_tm_hf50_lfx05_seed_388,phase1_accuracy,TM,hf50_lfx05,HF-only+AR1/co-kriging+Neural-GP MF,original_bundle,50,5,388,,,"{""fpca_var_ratio"":""0.999"",""gp_ard"":""1"",""methods"":""hf_only,ar1,ours"",""svgp_M"":""64"",""svgp_steps"":""2000"",""wl_high"":""750.0"",""wl_low"":""380.0""}"
original_tm_hf50_lfx05_seed_399,phase1_accuracy,TM,hf50_lfx05,HF-only+AR1/co-kriging+Neural-GP MF,original_bundle,50,5,399,,,"{""fpca_var_ratio"":""0.999"",""gp_ard"":""1"",""methods"":""hf_only,ar1,ours"",""svgp_M"":""64"",""svgp_steps"":""2000"",""wl_high"":""750.0"",""wl_low"":""380.0""}"
original_tm_hf50_lfx10_seed_200,phase1_accuracy,TM,hf50_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,original_bundle,50,10,200,,,"{""fpca_var_ratio"":""0.999"",""gp_ard"":""1"",""methods"":""hf_only,ar1,ours"",""svgp_M"":""64"",""svgp_steps"":""2000"",""wl_high"":""750.0"",""wl_low"":""380.0""}"
original_tm_hf50_lfx10_seed_210,phase1_accuracy,TM,hf50_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,original_bundle,50,10,210,,,"{""fpca_var_ratio"":""0.999"",""gp_ard"":""1"",""methods"":""hf_only,ar1,ours"",""svgp_M"":""64"",""svgp_steps"":""2000"",""wl_high"":""750.0"",""wl_low"":""380.0""}"
original_tm_hf50_lfx10_seed_220,phase1_accuracy,TM,hf50_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,original_bundle,50,10,220,,,"{""fpca_var_ratio"":""0.999"",""gp_ard"":""1"",""methods"":""hf_only,ar1,ours"",""svgp_M"":""64"",""svgp_steps"":""2000"",""wl_high"":""750.0"",""wl_low"":""380.0""}"
original_tm_hf50_lfx10_seed_230,phase1_accuracy,TM,hf50_lfx10,HF-only+AR1/co-kriging+Neural-GP MF,original_bundle,50,10,230,,,"{""fpca_var_ratio"":""0.999"",""gp_ard"":""1"",""methods"":""hf_only,ar1,ours"",""svgp_M"":""64"",""svgp_steps"":""2000"",""wl_high"":""750.0"",""wl_low"":""380.0""}"
